id_colaborador,colaborador,idade,departamento,cargo,salario,tempo_empresa_anos,avaliacao_desempenho,satisfacao,horas_semanais,tipo_contrato,regiao,beneficios,situacao
171,André Carvalho,40,Financeiro,Analista Financeiro,3086.29,8.4,7.6,7,38,CLT,Centro-Oeste,Sim,Ativo
172,Marcos Teixeira,39,Comercial,Coordenador Comercial,6422.71,1.1,9.2,5,30,CLT,Sul,Sim,Ativo
173,Michele Silva,35,Marketing,Social Media,5764.97,4.7,8.2,8,39,CLT,Sul,Sim,Ativo
174,Felipe Moreira,27,Tecnologia,Suporte de TI,9372.62,2.9,8.4,10,42,CLT,Sudeste,Sim,Ativo
175,Simone Santos,41,Recursos Humanos,Analista de RH,6970.17,2.3,8.6,9,40,CLT,Sul,Sim,Ativo
176,Juliana Dias,27,Comercial,Analista Comercial,8190.82,4.5,6.9,6,43,Estágio,Sul,Sim,Ativo
177,Larissa Costa,27,Operações,Coordenador de Operações,3360.86,0.2,7.6,5,35,CLT,Sul,Sim,Ativo
178,Felipe Vieira,42,Tecnologia,Desenvolvedor,8583.6,3.2,5.7,9,43,CLT,Nordeste,Sim,Ativo
179,Gustavo Oliveira,26,Operações,Analista de Operações,2667.22,2.6,8.3,7,37,CLT,Norte,Não,Ativo
180,Wagner Teixeira,35,Financeiro,Assistente Financeiro,6996.34,3.6,8.4,7,45,PJ,Nordeste,Sim,Desligado
181,Miguel Gomes,26,Tecnologia,Suporte de TI,6258.0,1.8,7.8,7,36,CLT,Nordeste,Sim,Ativo
182,Elaine Martins,38,Marketing,Coordenador de Marketing,6650.81,11.0,9.1,8,35,CLT,Norte,Sim,Ativo
183,Patrícia Nogueira,40,Marketing,Analista de Marketing,8259.4,2.9,9.6,7,42,Estágio,Sul,Não,Desligado
184,Jéssica Martins,24,Tecnologia,Desenvolvedor,7454.49,1.5,8.9,8,40,CLT,Sul,Sim,Ativo
185,Gustavo Dias,37,Financeiro,Analista Financeiro,5169.16,0.8,7.6,9,38,CLT,Sul,Sim,Ativo
186,João Nogueira,52,Operações,Analista de Operações,4614.13,0.8,8.0,8,31,CLT,Centro-Oeste,Sim,Ativo
187,Eduardo Vieira,38,Financeiro,Coordenador Financeiro,2880.88,2.3,6.9,8,44,CLT,Sul,Não,Ativo
188,Roberta Dias,48,Comercial,Vendedor,6664.0,2.9,6.5,8,47,CLT,Nordeste,Não,Desligado
189,Larissa Oliveira,36,Financeiro,Coordenador Financeiro,7633.84,1.1,8.3,6,42,CLT,Sul,Não,Desligado
190,Wagner Silva,23,Operações,Coordenador de Operações,6624.76,0.8,7.7,8,46,CLT,Sudeste,Sim,Ativo
191,Isabela Souza,29,Comercial,Coordenador Comercial,2734.12,0.8,7.6,8,40,CLT,Norte,Sim,Ativo
192,Fernanda Martins,26,Financeiro,Coordenador Financeiro,8194.8,1.0,7.4,9,40,CLT,Centro-Oeste,Sim,Ativo
193,Camila Carvalho,46,Operações,Assistente de Operações,6130.04,3.4,8.5,6,45,CLT,Sul,Não,Ativo
194,Rodrigo Teixeira,32,Comercial,Coordenador Comercial,5958.14,5.3,6.8,7,46,CLT,Centro-Oeste,Não,Ativo
195,Amanda Rocha,27,Operações,Coordenador de Operações,5346.92,2.1,6.4,10,39,CLT,Centro-Oeste,Sim,Ativo
196,Gabriela Santos,22,Tecnologia,Desenvolvedor,7568.53,2.3,7.2,5,47,CLT,Centro-Oeste,Sim,Ativo
197,William Lima,29,Operações,Analista de Operações,2997.73,4.7,7.4,10,42,CLT,Centro-Oeste,Sim,Ativo
198,Henrique Oliveira,30,Financeiro,Coordenador Financeiro,3095.8,6.3,7.2,6,37,CLT,Sudeste,Sim,Ativo
199,Elaine Souza,37,Financeiro,Coordenador Financeiro,7258.38,3.7,7.9,7,45,CLT,Sudeste,Sim,Ativo
200,Renata Costa,36,Recursos Humanos,Analista de RH,3478.35,10.1,7.6,8,47,CLT,Nordeste,Sim,Ativo
